Shot #,Timecode,Selected Var,Score,VO Text,Timestamp
269,10:18.9 - 10:21.4,1,99.2,Why trade fifteen hours for fifty of toil?,2026-09-09T11:39:04.893059
270,10:21.4 - 10:23.9,1,95.5,The answer is: nobody chose to give it up.,2026-09-09T11:39:38.377303
271,10:23.9 - 10:26.3,2,66.6,Humanity fell into an irreversible trap.,2026-09-09T11:40:21.692579
272,10:26.3 - 10:28.7,2,85.2,A trap so gradual no generation saw it.,2026-09-09T11:40:52.850011
273,10:28.7 - 10:31.4,2,90.4,"Twelve thousand years ago in the Middle East,",2026-09-09T11:41:40.301277
274,10:31.4 - 10:34.1,1,98.9,climate swings brought colder winter droughts.,2026-09-09T11:42:18.659492
275,10:34.1 - 10:36.2,1,97.9,Bands noticed wild wheat and barley,2026-09-09T11:42:52.420318
276,10:36.2 - 10:38.8,1,91.3,stored remarkably well through the winter.,2026-09-09T11:43:29.967952
277,10:38.8 - 10:41.3,2,95.2,So they tended patches. They watered them.,2026-09-09T11:44:17.170350
278,10:41.3 - 10:43.9,1,96.0,They weeded soil. They saved the best seeds.,2026-09-09T11:44:55.402786
279,10:43.9 - 10:46.6,2,95.1,It seemed like a brilliant insurance policy.,2026-09-09T11:45:40.947670
280,10:46.6 - 10:49.1,2,86.5,More stored grain meant less winter dread.,2026-09-09T11:46:22.151870
281,10:49.1 - 10:51.5,2,51.1,But wheat contained a biological trigger.,2026-09-09T11:46:51.517667
3,MANUAL_SELECT,3,USER_PICK,Selected via QA Dashboard,2026-09-09T11:46:52.523342
282,10:51.5 - 10:54.2,2,93.7,"Wild fibrous food requires years of nursing,",2026-09-09T11:47:18.600337
283,10:54.2 - 10:56.3,2,90.2,keeping birth spacing at four years.,2026-09-09T11:48:02.765051
284,10:56.3 - 10:58.8,2,82.2,The population stayed small and balanced.,2026-09-09T11:48:45.703348
285,10:58.8 - 11:01.3,2,91.6,Cooked wheat porridge changed the formula.,2026-09-09T11:49:15.440616
286,11:01.3 - 11:03.7,2,93.7,Starch is easy for young guts to digest.,2026-09-09T11:49:45.730921
287,11:03.7 - 11:05.9,1,92.0,Mothers could wean babies at age one.,2026-09-09T11:50:22.653994
288,11:05.9 - 11:08.5,1,96.8,Birth spacing collapsed to eighteen months.,2026-09-09T11:51:05.640731
289,11:08.5 - 11:10.8,1,96.3,The population exploded exponentially.,2026-09-09T11:51:48.741898
290,11:10.8 - 11:13.2,1,94.1,"Within generations, twenty-five foragers",2026-09-09T11:52:17.439343
291,11:13.2 - 11:15.5,1,94.9,became three hundred hungry villagers.,2026-09-09T11:52:53.814678
292,11:15.5 - 11:17.6,1,96.5,"And suddenly, the trap snapped shut.",2026-09-09T11:53:30.402212
293,11:17.6 - 11:20.4,1,97.7,Three hundred people cannot live on wild game.,2026-09-09T11:54:04.331289
294,11:20.4 - 11:22.9,2,79.0,There are not enough roots in fifty miles.,2026-09-09T11:54:47.817832
295,11:22.9 - 11:24.7,1,99.4,You cannot go back to hunting.,2026-09-09T11:55:31.672598
296,11:24.7 - 11:27.2,2,92.6,"If you stop farming, your children starve.",2026-09-09T11:55:58.603610
297,11:27.2 - 11:28.9,2,97.2,You are trapped in the soil.,2026-09-09T11:56:27.367931
298,11:28.9 - 11:30.7,2,98.8,Now you must plow more fields.,2026-09-09T11:57:10.668099
299,11:30.7 - 11:32.9,2,99.0,You must weed from sunrise to sunset.,2026-09-09T11:57:44.368119
300,11:32.9 - 11:35.6,2,97.5,You must dig irrigation till your arms shake.,2026-09-09T11:58:27.339990
301,11:35.6 - 11:38.0,1,99.2,"Grain is harvested all at once, in bulk.",2026-09-09T11:59:02.875172
302,11:38.0 - 11:40.1,2,94.6,You must store it inside granaries.,2026-09-09T11:59:48.597897
303,11:40.1 - 11:42.3,2,78.0,"And when granaries are full of food,",2026-09-09T12:00:29.472626
304,11:42.3 - 11:44.7,1,56.5,other starving villages come to take it.,2026-09-09T12:01:12.749777
305,11:44.7 - 11:47.0,1,94.5,So you build walls. Thick stone walls.,2026-09-09T12:01:45.767205
306,11:47.0 - 11:49.2,1,83.1,You need guards on those battlements.,2026-09-09T12:02:23.462051
307,11:49.2 - 11:51.7,1,93.7,You need scribes to tally the grain sacks.,2026-09-09T12:02:57.807195
308,11:51.7 - 11:53.9,1,98.9,You need taxes to feed the soldiers.,2026-09-09T12:03:36.752921
309,11:53.9 - 11:56.0,2,85.1,You need a king to command the army.,2026-09-09T12:04:12.770828
310,11:56.0 - 11:58.6,2,97.3,"And just like that, human freedom vanished.",2026-09-09T12:04:45.527280
311,11:58.6 - 12:00.9,1,93.9,Property was born. Borders were drawn.,2026-09-09T12:05:27.879735
312,12:00.9 - 12:03.4,2,99.0,Time belonged to the harvest and the king.,2026-09-09T12:06:07.775564
313,12:03.4 - 12:05.3,1,92.0,Freedom was traded for a fence.,2026-09-09T12:06:51.401958
314,12:05.3 - 12:07.3,2,87.7,"Tonight, you will crawl into bed.",2026-09-09T12:07:36.994505
315,12:07.3 - 12:09.4,2,80.3,You will reach for your smartphone.,2026-09-09T12:08:13.439548
316,12:09.4 - 12:11.9,partial_var_1,58.2,You will set that chime for six-thirty AM.,2026-09-09T12:09:23.577786
317,12:11.9 - 12:14.0,1,60.7,You will spend the next forty years,2026-09-09T12:09:54.415518
318,12:14.0 - 12:16.2,1,99.1,"sitting in traffic, answering emails,",2026-09-09T12:10:31.543009
319,12:16.2 - 12:18.2,1,75.8,"paying down a mortgage on drywall,",2026-09-09T12:11:01.598704
320,12:18.2 - 12:20.3,1,97.8,"saving dollars into an index fund,",2026-09-09T12:11:40.729255
321,12:20.3 - 12:22.7,2,98.1,"hoping that someday, if your body works,",2026-09-09T12:12:15.786692
322,12:22.7 - 12:24.1,2,96.9,you can finally retire.,2026-09-09T12:13:01.536968
323,12:24.1 - 12:26.2,1,98.1,And what is the dream of retirement?,2026-09-09T12:13:33.516632
324,12:26.2 - 12:28.4,2,99.8,To wake with the sun. Nowhere to be.,2026-09-09T12:14:18.473652
325,12:28.4 - 12:30.8,1,100.0,To walk in woods with no clock in pocket.,2026-09-09T12:14:55.402089
326,12:30.8 - 12:33.2,2,95.7,To cook slow fresh food with your hands.,2026-09-09T12:15:21.790932
327,12:33.2 - 12:35.4,1,98.0,To take afternoon naps in the shade.,2026-09-09T12:15:57.339942
328,12:35.4 - 12:37.9,1,100.0,"To sit by a fire at night with loved ones,",2026-09-09T12:16:25.467614
7,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T12:16:28.365318
329,12:37.9 - 12:40.3,2,84.5,telling stories and watching the stars.,2026-09-09T12:16:58.806302
330,12:40.3 - 12:42.1,2,77.8,Do you see the crushing irony?,2026-09-09T12:17:30.546966
14,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T12:17:48.612027
331,12:42.1 - 12:44.3,2,93.2,You work forty-five years of your life,2026-09-09T12:18:08.960976
332,12:44.3 - 12:46.5,2,97.8,hoping to buy back the exact freedom,2026-09-09T12:18:38.124111
333,12:46.5 - 12:49.0,1,80.2,your ancestors lived from birth to death.,2026-09-09T12:19:20.040149
334,12:49.0 - 12:52.0,1,78.6,And they would find it strange you traded it away.,2026-09-09T12:19:54.050542
18,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T15:43:21.167034
18,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T15:43:21.541830
23,MANUAL_SELECT,4,USER_PICK,Selected via QA Dashboard,2026-09-09T15:45:14.296401
25,MANUAL_SELECT,4,USER_PICK,Selected via QA Dashboard,2026-09-09T15:45:43.217687
35,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T15:46:58.889816
58,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T15:48:35.066535
59,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T15:48:50.851772
62,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T15:49:12.153964
62,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T15:49:12.524918
65,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T15:49:59.944054
68,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:02:43.295697
69,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:02:48.902690
69,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:02:49.276515
71,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:03:23.334105
86,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T16:04:10.403937
88,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:04:16.759623
97,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T16:04:53.357235
107,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T16:05:32.694611
107,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T16:05:33.071754
116,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:05:58.136291
116,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:05:58.517553
118,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:06:14.828537
124,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:07:36.616815
135,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:08:33.559043
135,MANUAL_SELECT,2,USER_PICK,Selected via QA Dashboard,2026-09-09T16:08:33.934417
139,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T16:08:55.572706
139,MANUAL_SELECT,1,USER_PICK,Selected via QA Dashboard,2026-09-09T16:08:55.949617
